Name	PropCovLoci	Poly	Sample	AvCov	SDCov
3_1_12	0.33	0	4193	71.7	109.6
3_1_12	0.33	0	4293	45.8	39.5
3_1_12	0.33	0	6245	48.1	53.3
3_1_12	0.33	0	6417	69.8	55.1
3_1_12	0.33	0	666	64.7	67.3
3_1_12	0.33	0	759	8.5	5.0
3_1_12	0.33	0	767	25.0	0
3_1_12	0.33	1	1292	22.7	23.5
3_1_12	0.33	1	1382	45.5	49.9
3_1_12	0.33	1	249	43.8	48.4
3_1_12	0.33	1	4043	68.4	75.5
3_1_12	0.33	1	4167	49.6	49.3
3_1_12	0.33	1	4193	52.3	47.1
3_1_12	0.33	1	4293	41.2	31.4
3_1_12	0.33	1	6245	56.1	62.0
3_1_12	0.33	1	6417	54.6	59.2
3_1_12	0.33	1	666	55.5	60.8
3_1_12	0.33	1	759	112.9	120.4
3_1_12	0.33	1	767	93.3	98.0
3_1_12	0.42	0	1292	38.2	46.2
3_1_12	0.42	0	1382	12.0	0
3_1_12	0.42	0	249	88.9	53.1
3_1_12	0.42	0	4043	89.2	115.2
3_1_12	0.42	0	4167	68.0	75.4
3_1_12	0.42	0	4193	55.6	43.2
3_1_12	0.42	0	4293	66.4	34.9
3_1_12	0.42	0	6245	112.2	111.8
3_1_12	0.42	0	6417	73.3	49.7
3_1_12	0.42	0	666	79.6	69.7
3_1_12	0.42	1	1292	23.8	23.4
3_1_12	0.42	1	1382	49.8	54.8
3_1_12	0.42	1	249	49.0	52.1
3_1_12	0.42	1	4043	77.4	83.1
3_1_12	0.42	1	4167	55.2	57.8
3_1_12	0.42	1	4193	56.5	52.7
3_1_12	0.42	1	4293	43.0	34.4
3_1_12	0.42	1	6245	62.4	63.6
3_1_12	0.42	1	6417	58.1	60.6
3_1_12	0.42	1	666	65.0	70.0
3_1_12	0.42	1	759	110.6	113.7
3_1_12	0.42	1	767	94.6	108.2
3_1_12	0.5	0	249	63.4	96.9
3_1_12	0.5	0	4043	34.0	0
3_1_12	0.5	0	4167	67.4	72.6
3_1_12	0.5	0	4193	34.4	41.6
3_1_12	0.5	0	4293	50.8	39.5
3_1_12	0.5	0	6245	112.3	137.8
3_1_12	0.5	0	6417	28.2	22.4
3_1_12	0.5	0	666	32.7	30.2
3_1_12	0.5	1	1292	24.6	25.2
3_1_12	0.5	1	1382	50.1	52.2
3_1_12	0.5	1	249	54.7	55.4
3_1_12	0.5	1	4043	85.5	90.9
3_1_12	0.5	1	4167	65.4	62.9
3_1_12	0.5	1	4193	59.7	54.6
3_1_12	0.5	1	4293	45.0	37.1
3_1_12	0.5	1	6245	70.2	69.3
3_1_12	0.5	1	6417	64.4	65.5
3_1_12	0.5	1	666	72.1	71.1
3_1_12	0.5	1	759	114.0	113.9
3_1_12	0.5	1	767	95.9	95.9
3_1_12	0.58	1	1292	27.1	26.3
3_1_12	0.58	1	1382	57.0	59.0
3_1_12	0.58	1	249	61.9	64.3
