Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
3_3_4	0.25	14914	14174	0.95	6.2	4.1	0.02753	0.01776	46723	45741	0.98	10.4	6.8	0.04462	0.02895
3_3_4	0.17	31051	25691	0.83	4.0	3.0	0.01812	0.01298	77774	71432	0.92	8.1	6.5	0.03509	0.02755
3_3_4	0.08	151035	7638	0.05	1.8	1.6	0.00819	0.00696	228809	79070	0.35	7.5	6.5	0.03249	0.02745
7_3_1	1.0	169	169	1.0	14.2	6.0	0.06029	0.02565	169	169	1.0	14.2	6.0	0.06029	0.02565
7_3_1	0.92	392	392	1.0	13.8	6.1	0.05894	0.0259	561	561	1.0	13.9	6.1	0.05934	0.02581
7_3_1	0.83	568	567	1.0	13.5	6.1	0.05757	0.0257	1129	1128	1.0	13.7	6.1	0.05846	0.02576
7_3_1	0.75	873	870	1.0	12.8	5.9	0.05426	0.02451	2002	1998	1.0	13.3	6.0	0.05663	0.0253
7_3_1	0.67	1301	1299	1.0	11.6	5.4	0.04929	0.0229	3303	3297	1.0	12.6	5.8	0.05374	0.02464
7_3_1	0.58	1747	1740	1.0	10.2	5.2	0.04342	0.02191	5050	5037	1.0	11.8	5.7	0.05017	0.02424
7_3_1	0.5	2595	2576	0.99	8.8	4.8	0.03755	0.02047	7645	7613	1.0	10.8	5.6	0.0459	0.02379
7_3_1	0.42	3877	3823	0.99	7.5	4.4	0.03209	0.01897	11522	11436	0.99	9.7	5.5	0.04128	0.02323
7_3_1	0.33	6489	6252	0.96	6.0	3.9	0.0258	0.01687	18011	17688	0.98	8.4	5.3	0.03581	0.02245
7_3_1	0.25	11892	10809	0.91	4.5	3.3	0.01934	0.01428	29903	28497	0.95	6.9	5.0	0.02956	0.02131
7_3_1	0.17	29652	22217	0.75	3.1	2.5	0.01337	0.01079	59555	50714	0.85	5.2	4.5	0.02247	0.01925
7_3_1	0.08	204831	16422	0.08	2.1	1.9	0.00951	0.00819	264386	67136	0.25	4.5	4.3	0.0193	0.0181
5_10_1	1.0	190	189	0.99	16.3	7.3	0.06945	0.03146	190	189	0.99	16.3	7.3	0.06945	0.03146
5_10_1	0.92	393	393	1.0	15.2	7.1	0.06462	0.02977	583	582	1.0	15.6	7.2	0.06619	0.03039
5_10_1	0.83	644	644	1.0	15.8	6.9	0.06708	0.02908	1227	1226	1.0	15.7	7.1	0.06666	0.0297
5_10_1	0.75	922	920	1.0	14.4	6.8	0.06107	0.02872	2149	2146	1.0	15.1	7.0	0.06426	0.02941
5_10_1	0.67	1273	1270	1.0	13.6	6.5	0.05805	0.02752	3422	3416	1.0	14.6	6.8	0.06195	0.02887
5_10_1	0.58	1792	1789	1.0	12.3	6.3	0.05243	0.02687	5214	5205	1.0	13.8	6.8	0.05868	0.02856
