Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_6_20	0.75	1933	1933	1.0	24.9	10.4	0.1061	0.04464	0.07035	0.04441	4248	4248	1.0	26.6	10.7	0.11287	0.04544	0.06736	0.04216
3_6_20	0.67	2655	2654	1.0	23.2	10.2	0.09907	0.04407	0.07015	0.05212	6903	6902	1.0	25.3	10.7	0.10756	0.04542	0.06844	0.04626
3_6_20	0.58	3269	3269	1.0	20.6	9.0	0.08842	0.03886	0.06949	0.05512	10172	10171	1.0	23.8	10.4	0.10141	0.04433	0.06877	0.04928
3_6_20	0.5	4105	4102	1.0	18.4	9.0	0.07893	0.03916	0.06989	0.06129	14277	14273	1.0	22.2	10.3	0.09495	0.04409	0.06909	0.05301
3_6_20	0.42	5187	5170	1.0	15.4	8.1	0.06646	0.03519	0.06786	0.07049	19464	19443	1.0	20.4	10.2	0.08737	0.04376	0.06877	0.05818
3_6_20	0.33	7130	7073	0.99	12.6	7.4	0.05475	0.03225	0.06562	0.08543	26594	26516	1.0	18.3	10.2	0.07867	0.04347	0.06793	0.06656
3_6_20	0.25	11483	11205	0.98	9.5	6.3	0.0418	0.02804	0.06801	0.10828	38077	37721	0.99	15.7	10.0	0.06772	0.04296	0.06795	0.08122
3_6_20	0.17	27492	24208	0.88	5.7	4.5	0.02578	0.02098	0.07196	0.15476	65569	61929	0.94	11.8	9.7	0.05133	0.04141	0.06952	0.11569
3_6_20	0.08	113637	6040	0.05	2.0	1.9	0.009	0.00879	1.0	0.0	179206	67969	0.38	10.9	9.6	0.04756	0.04141	0.1522	0.28688
3_15_10	1.0	289	289	1.0	26.4	10.6	0.11261	0.04541	0.05955	0.03344	289	289	1.0	26.4	10.6	0.11261	0.04541	0.05955	0.03344
