Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_5_3	0.42	1464	1439	0.98	5.0	1.7	0.02157	0.00761	0.08033	0.088	2688	2658	0.99	5.1	1.7	0.02211	0.00731	0.08562	0.08871
3_5_3	0.33	3372	3292	0.98	4.6	1.8	0.02003	0.00813	0.08057	0.10061	6060	5950	0.98	4.8	1.8	0.02096	0.00784	0.08283	0.09551
3_5_3	0.25	8625	8159	0.95	4.0	1.9	0.01769	0.0084	0.08396	0.12507	14685	14109	0.96	4.4	1.9	0.01907	0.00833	0.08348	0.11354
3_5_3	0.17	32148	26810	0.83	3.1	1.8	0.01363	0.00787	0.08891	0.17372	46833	40919	0.87	3.5	1.9	0.01551	0.00844	0.08704	0.15564
3_5_3	0.08	184315	10732	0.06	1.9	1.4	0.00851	0.00668	1.0	0.0	231148	51651	0.22	3.2	1.9	0.01405	0.00859	0.27673	0.39547
3_7_3	1.0	4	4	1.0	6.2	0.5	0.02695	0.00236	0.08492	0.01778	4	4	1.0	6.2	0.5	0.02695	0.00236	0.08492	0.01778
3_7_3	0.92	6	6	1.0	5.5	1.5	0.02259	0.00728	0.09212	0.07072	10	10	1.0	5.8	1.2	0.02433	0.00604	0.08924	0.05383
3_7_3	0.83	30	30	1.0	5.3	1.5	0.02345	0.00825	0.10316	0.09831	40	40	1.0	5.4	1.4	0.02367	0.00769	0.09968	0.08884
3_7_3	0.75	59	58	0.98	5.8	1.5	0.02474	0.00623	0.09525	0.06359	99	98	0.99	5.6	1.4	0.0243	0.00684	0.09706	0.07453
3_7_3	0.67	148	148	1.0	5.0	1.8	0.02196	0.00831	0.10403	0.09772	247	246	1.0	5.3	1.7	0.02289	0.00783	0.10125	0.08911
3_7_3	0.58	262	262	1.0	5.4	1.6	0.02322	0.00675	0.09592	0.08574	509	508	1.0	5.3	1.6	0.02306	0.00729	0.09851	0.08734
3_7_3	0.5	629	624	0.99	5.2	1.6	0.02249	0.00692	0.08942	0.09027	1138	1132	0.99	5.3	1.6	0.02275	0.00709	0.09349	0.08904
3_7_3	0.42	1360	1340	0.99	5.0	1.7	0.02167	0.00742	0.08158	0.08601	2498	2472	0.99	5.1	1.7	0.02217	0.00729	0.08703	0.0876
3_7_3	0.33	3068	2988	0.97	4.6	1.8	0.01995	0.00814	0.08318	0.10398	5566	5460	0.98	4.8	1.8	0.02095	0.00784	0.08493	0.09692
3_7_3	0.25	8034	7592	0.94	4.0	1.9	0.01771	0.0084	0.0861	0.12703	13600	13052	0.96	4.4	1.9	0.01907	0.00833	0.08561	0.11539
3_7_3	0.17	30713	25591	0.83	3.1	1.8	0.01363	0.00794	0.09212	0.17711	44313	38643	0.87	3.5	1.9	0.01547	0.00847	0.08992	0.159
3_7_3	0.08	179033	10768	0.06	2.0	1.5	0.00894	0.0076	1.0	0.0	223346	49411	0.22	3.2	1.9	0.01405	0.00872	0.28825	0.40117
3_2_3	1.0	3	3	1.0	6.3	0.6	0.02754	0.00251	0.08082	0.01932	3	3	1.0	6.3	0.6	0.02754	0.00251	0.08082	0.01932
3_2_3	0.92	3	3	1.0	6.3	1.2	0.02733	0.00493	0.07532	0.03514	6	6	1.0	6.3	0.8	0.02743	0.0035	0.07807	0.02554
3_2_3	0.83	37	37	1.0	5.4	1.6	0.0234	0.00678	0.10837	0.09417	43	43	1.0	5.5	1.5	0.02397	0.00655	0.10414	0.08827
3_2_3	0.75	78	78	1.0	5.5	1.6	0.02383	0.00645	0.09455	0.06601	121	121	1.0	5.5	1.5	0.02388	0.00646	0.09796	0.07446
3_2_3	0.67	180	180	1.0	5.1	1.8	0.02226	0.00831	0.09766	0.08838	301	301	1.0	5.3	1.7	0.02291	0.00765	0.09778	0.08294
3_2_3	0.58	345	344	1.0	5.4	1.5	0.02346	0.00662	0.08878	0.07407	646	645	1.0	5.4	1.6	0.0232	0.00712	0.09298	0.0784
3_2_3	0.5	879	876	1.0	5.2	1.6	0.02244	0.00717	0.0817	0.07751	1525	1521	1.0	5.3	1.6	0.02276	0.00716	0.08648	0.07806
3_2_3	0.42	1831	1808	0.99	5.0	1.7	0.02169	0.00754	0.07307	0.07905	3356	3329	0.99	5.1	1.7	0.02218	0.00738	0.0792	0.07887
3_2_3	0.33	4158	4066	0.98	4.6	1.8	0.02006	0.00794	0.07215	0.09335	7514	7395	0.98	4.8	1.8	0.02101	0.00776	0.07532	0.0872
3_2_3	0.25	10278	9727	0.95	4.0	1.9	0.01768	0.00826	0.07317	0.11624	17792	17122	0.96	4.4	1.9	0.01912	0.00822	0.0741	0.10469
3_2_3	0.17	35927	29979	0.83	3.1	1.8	0.01355	0.00778	0.07677	0.16164	53719	47101	0.88	3.5	1.9	0.01558	0.00838	0.0758	0.14358
3_2_3	0.08	196051	9715	0.05	1.6	1.1	0.00705	0.00475	1.0	0.0	249770	56816	0.23	3.2	1.9	0.01412	0.00851	0.23383	0.37171
3_15_2	1.0	4	4	1.0	5.8	0.5	0.02484	0.00249	0.05823	0.04372	4	4	1.0	5.8	0.5	0.02484	0.00249	0.05823	0.04372
3_15_2	0.92	3	3	1.0	4.0	1.7	0.01837	0.00566	0.09753	0.01005	7	7	1.0	5.0	1.4	0.02207	0.00507	0.07508	0.03782
